p,method,parallel,precision,runtime_us,rel_error
4000,auto,seq,f64,931.5969946328551,2.2448683725486783e-08
4000,auto,seq,f32,4664.805659558624,3.0893253380756064e-05
4000,blocked,True,f64,889.6943375778695,1.3100825816153928e-14
4000,blocked_autovec,True,f64,2038.9030008421591,5.26180709009461e-15
4000,blocked_tiled,True,f64,1349.638672157501,1.3100825816153928e-14
4000,blocked_windowed,True,f64,2069.6109956285604,1.3100825816153928e-14
4000,blocked_hybrid,True,f64,6129.735993454233,1.3100825816153928e-14
4000,treecode,True,f64,1107.2780083244045,9.054184067794456e-05
4000,chebcode,True,f64,437.55566972928744,4.978276158687249e-10
8000,reference,seq,f64,279758.8329995051,0.0
8000,reference,seq,f32,279758.8329995051,0.0
8000,naive,seq,f64,62889.26400399457,6.3784102623244104e-15
8000,naive,seq,f32,62231.708327696346,3.103598785999893e-05
8000,autovec,seq,f64,62439.861008897424,6.3784102623244104e-15
8000,autovec,seq,f32,62117.430672515184,3.103598785999893e-05
8000,blocked,seq,f64,16334.416664903983,1.7221707708275908e-14
8000,blocked,seq,f32,18518.722334799048,3.0336843010842393e-05
8000,blocked_autovec,seq,f64,62328.81933101453,6.3784102623244104e-15
8000,blocked_autovec,seq,f32,62166.930661381535,3.103598785999893e-05
8000,blocked_tiled,seq,f64,16320.874992137153,1.7221707708275908e-14
8000,blocked_tiled,seq,f32,18515.22199770746,3.0336843010842393e-05
8000,blocked_windowed,seq,f64,16261.555332069594,1.7221707708275908e-14
8000,blocked_windowed,seq,f32,16318.125000301126,3.103598785999893e-05
8000,blocked_hybrid,seq,f64,32585.930331454925,1.7221707708275908e-14
8000,blocked_hybrid,seq,f32,33018.7359941192,3.103598785999893e-05
8000,adaptive,seq,f64,2499.652667514359,1.3114598382182566e-07
8000,adaptive,seq,f32,2444.944664603099,3.093611002440514e-05
8000,fft5,seq,f64,1741.4026660844684,1.3114598382182566e-07
8000,fft5,seq,f32,2034.319331869483,3.093611002440514e-05
8000,fft3,seq,f64,1867.444332068165,1.3114598382182566e-07
8000,fft3,seq,f32,2120.3609940130264,3.093611002440514e-05
8000,fft2,seq,f64,2138.4446687685945,1.3114598382182566e-07
8000,fft2,seq,f32,1885.9166690769296,3.093611002440514e-05
8000,treecode,seq,f64,6537.888994595657,0.0038543059711553668
8000,treecode,seq,f32,6753.485999070108,0.00385389494306917
8000,chebcode,seq,f64,2346.569332682217,5.581877577970469e-10
8000,chebcode,seq,f32,2368.9723360197,3.103598785999893e-05
8000,ewald,seq,f64,7493.875008852531,0.0018224285068589318
8000,ewald,seq,f32,7446.250005159527,0.0018221767237942641
8000,dst,seq,f64,18355.041664714616,1.3114598382182566e-07
8000,dst,seq,f32,18307.305668713525,3.093611002440514e-05
8000,auto,seq,f64,2184.8749990264573,9.079735443445571e-10
8000,auto,seq,f32,18815.01400688042,3.0336843010842393e-05
8000,blocked,True,f64,3338.625004592662,1.7221707708275908e-14
8000,blocked_autovec,True,f64,7837.15266152285,6.3784102623244104e-15
8000,blocked_tiled,True,f64,3811.7499983248613,1.7221707708275908e-14
8000,blocked_windowed,True,f64,9815.013666714853,1.7221707708275908e-14
8000,blocked_hybrid,True,f64,24040.02765736853,1.7221707708275908e-14
8000,treecode,True,f64,2133.68033291772,0.0038543059711553668
8000,chebcode,True,f64,824.3609918281436,5.581877577970469e-10
10000,reference,seq,f64,572722.8340110742,0.0
10000,reference,seq,f32,572722.8340110742,0.0
10000,naive,seq,f64,98052.09733895026,1.2111893497381987e-14
10000,naive,seq,f32,98460.8890042485,2.9695527683376893e-05
10000,autovec,seq,f64,97111.66666238569,1.1910028605758954e-14
10000,autovec,seq,f32,97294.19433278963,2.9695527683376893e-05
10000,blocked,seq,f64,25731.166669478018,1.4428608542649452e-14
10000,blocked,seq,f32,29045.014001894742,2.9940036000684308e-05
10000,blocked_autovec,seq,f64,97540.04166461527,1.1910028605758954e-14
10000,blocked_autovec,seq,f32,97545.19466271934,2.9695527683376893e-05
10000,blocked_tiled,seq,f64,25451.985993034516,1.4428608542649452e-14
10000,blocked_tiled,seq,f32,29128.16666260672,2.9940036000684308e-05
10000,blocked_windowed,seq,f64,25579.541669382405,1.4428608542649452e-14
10000,blocked_windowed,seq,f32,25553.930667228997,2.9695527683376893e-05
10000,blocked_hybrid,seq,f64,51321.02766462291,1.4428608542649452e-14
10000,blocked_hybrid,seq,f32,51956.20832576727,2.9695527683376893e-05
10000,adaptive,seq,f64,5045.778001658618,1.1925299684810237e-09
10000,adaptive,seq,f32,4734.055672694619,2.969619137663482e-05
10000,fft5,seq,f64,3556.611006691431,1.1925299684810237e-09
10000,fft5,seq,f32,3525.5833354312927,2.969619137663482e-05
10000,fft3,seq,f64,3628.069331170991,1.1925299684810237e-09
10000,fft3,seq,f32,3958.2363388035446,2.969619137663482e-05
10000,fft2,seq,f64,3869.361001610135,1.1925299684810237e-09
10000,fft2,seq,f32,3612.1526694235704,2.969619137663482e-05
10000,treecode,seq,f64,8179.680327884853,0.036375623104264836
10000,treecode,seq,f32,8091.110998066142,0.036378707111033984
10000,chebcode,seq,f64,2922.416664659977,4.67623301749245e-10
10000,chebcode,seq,f32,2834.7916571268192,2.9695527683376893e-05
10000,ewald,seq,f64,10307.694339038184,0.0008756835191147714
10000,ewald,seq,f32,11089.486002068346,0.0008756046171594892
10000,dst,seq,f64,29418.08332495081,1.1925299684810237e-09
10000,dst,seq,f32,29268.13900315513,2.969619137663482e-05
10000,auto,seq,f64,2783.0416705304137,7.145597284480796e-10
10000,auto,seq,f32,29034.2779965916,2.9940036000684308e-05
10000,blocked,True,f64,6442.346998179953,1.4428608542649452e-14
10000,blocked_autovec,True,f64,12244.152671579892,1.1910028605758954e-14
10000,blocked_tiled,True,f64,5133.236001711339,1.4428608542649452e-14
10000,blocked_windowed,True,f64,12587.847333634272,1.4428608542649452e-14
10000,blocked_hybrid,True,f64,40539.291667907186,1.4428608542649452e-14
10000,treecode,True,f64,3676.3333288642266,0.036375623104264836
10000,chebcode,True,f64,2833.5696648961552,4.67623301749245e-10
20000,reference,seq,f64,2324665.541993454,0.0
20000,reference,seq,f32,2324665.541993454,0.0
20000,naive,seq,f64,392915.4999981013,1.4380029395061973e-14
20000,naive,seq,f32,391682.5279981519,4.433341495458296e-05
20000,autovec,seq,f64,390165.6109956093,1.4594656699465883e-14
20000,autovec,seq,f32,391282.8749938247,4.433341495458296e-05
20000,blocked,seq,f64,102442.93032640901,2.5111394615257473e-14
20000,blocked,seq,f32,116413.45832807322,4.378608596046967e-05
20000,blocked_autovec,seq,f64,389456.19467025,1.4594656699465883e-14
20000,blocked_autovec,seq,f32,391028.45833986066,4.433341495458296e-05
20000,blocked_tiled,seq,f64,102495.16666711618,2.5111394615257473e-14
20000,blocked_tiled,seq,f32,116425.90267001651,4.378608596046967e-05
20000,blocked_windowed,seq,f64,102511.47233066149,2.5111394615257473e-14
20000,blocked_windowed,seq,f32,102350.00000102445,4.433341495458296e-05
20000,blocked_hybrid,seq,f64,204028.166665618,2.5111394615257473e-14
20000,blocked_hybrid,seq,f32,204907.68065792508,4.433341495458296e-05
20000,adaptive,seq,f64,10594.83333180348,9.537762416475995e-11
20000,adaptive,seq,f32,10762.055666418746,4.433341495458296e-05
20000,fft5,seq,f64,8234.347333200276,9.537762416475995e-11
20000,fft5,seq,f32,8460.791665129364,4.433341495458296e-05
20000,fft3,seq,f64,8278.68033472138,9.537762416475995e-11
20000,fft3,seq,f32,8507.972001098096,4.433341495458296e-05
20000,fft2,seq,f64,8249.972335761413,9.537762416475995e-11
20000,fft2,seq,f32,8281.208332239961,4.433341495458296e-05
20000,treecode,seq,f64,17590.499997216586,0.0001867495276197723
20000,treecode,seq,f32,17674.541673234973,0.00019324282251283073
20000,chebcode,seq,f64,6673.847334847475,6.600059370113457e-10
20000,chebcode,seq,f32,6690.097332466394,4.433341495458296e-05
20000,ewald,seq,f64,28756.153003390256,0.0005485009025708128
20000,ewald,seq,f32,28750.333333543193,0.0005497489248537823
20000,dst,seq,f64,110332.08333537914,9.537762416475995e-11
20000,dst,seq,f32,111011.94433285855,4.433341495458296e-05
20000,auto,seq,f64,6026.902672601864,1.9797165108523666e-08
20000,auto,seq,f32,116891.58333077405,4.378608596046967e-05
20000,blocked,True,f64,19571.694332019735,2.5111394615257473e-14
20000,blocked_autovec,True,f64,49998.76366734194,1.4594656699465883e-14
20000,blocked_tiled,True,f64,23443.43033231174,2.5111394615257473e-14
20000,blocked_windowed,True,f64,52018.66666902788,2.5111394615257473e-14
20000,blocked_hybrid,True,f64,152196.3613340631,2.5111394615257473e-14
20000,treecode,True,f64,5417.97232775328,0.0001867495276197723
20000,chebcode,True,f64,1916.0833326168358,6.600059370113457e-10
